date,max_temp,min_temp,avg_temp
2026-01-25,17.3,12.8,15.05
2026-01-26,18.8,11.3,15.05
2026-01-27,13.2,9.1,11.149999999999999
2026-01-28,15.1,8.8,11.95
2026-01-29,17.4,12.7,15.049999999999999
2026-01-30,16.7,12.2,14.45
2026-01-31,14.7,10.0,12.35
2026-02-01,16.1,10.5,13.3
